  Всю информацию я разделил по вкладкам , включая какой мод добавляет исследование во вкладку , так например Альфхейм добавляет ряд изучений в таумотургию .

                               Базовая информация

KNOWFRAG | thaumcraft | Фрагменты знаний
THAUMONOMICON | thaumcraft | Таумономикон
RESEARCH | thaumcraft | Исследования
RESEARCHER1 | thaumcraft | Экспертиза
DECONSTRUCTOR | thaumcraft | Стол расщепления
RESEARCHER2 | thaumcraft | Мастерство
RESEARCHDUPE | thaumcraft | Копирование исследований
ASPECTS | thaumcraft | Магические аспекты
WARP | thaumcraft | Искажение, Порча и всё остальное
CRIMSON | thaumcraft | Багровый культ
NODES | thaumcraft | Аура и её узлы
NODETAPPER1 | thaumcraft | Улучшенное обращение с узлом ауры
NODETAPPER2 | thaumcraft | Мастерское обращение с узлом ауры
NODEPRESERVE | thaumcraft | Бережливый маг
NODEJAR | thaumcraft | Узел ауры в банке
ORE | thaumcraft | Руды
ENCHANT | thaumcraft | Зачарования
PLANTS | thaumcraft | Растения и деревья
PECH | thaumcraft | Гномы

                               Тауматургия

BASICTHAUMATURGY | thaumcraft | Основы создания жезлов
ROD_greatwood | thaumcraft | Стержень из великого дерева
ROD_bone | thaumcraft | Костяной стержень
ROD_bone_staff | thaumcraft | Костяное ядро посоха
ROD_reed | thaumcraft | Тростниковый стержень
ROD_reed_staff | thaumcraft | Тростниковое ядро посоха
ROD_blaze | thaumcraft | Огненный стержень
ROD_blaze_staff | thaumcraft | Огненное ядро посоха
ROD_obsidian | thaumcraft | Обсидиановый стержень
ROD_obsidian_staff | thaumcraft | Обсидиановое ядро посоха
ROD_ice | thaumcraft | Ледяной стержень
ROD_ice_staff | thaumcraft | Ледяное ядро посоха
ROD_quartz | thaumcraft | Кварцевый стержень
ROD_quartz_staff | thaumcraft | Кварцевое ядро посоха
ROD_alfheimDreamwood | alfheim | Стержень из древесины мечтаний
ROD_silverwood | thaumcraft | Стержень из серебряного дерева
ROD_silverwood_staff | thaumcraft | Серебрянодревесное ядро посоха
SCEPTRE | thaumcraft | Скипетры
ROD_greatwood_staff | thaumcraft | Магические посохи
ROD_alfheimSpiritual_staff | alfheim | Ядро посоха Гайи
CAP_copper | thaumcraft | Медные наконечники
CAP_gold | thaumcraft | Золотые наконечники
