=======[thaumcraft]=======
WARP | thaumcraft | Warp, Flux and all things bad | 1 | [None] | [None]
RESEARCH | thaumcraft | Research | 1 | [None] | [None]
ENCHANT | thaumcraft | Enchantments | 1 | [None] | [None]
NODES | thaumcraft | Auras and Nodes | 1 | [None] | [None]
RESEARCHDUPE | thaumcraft | Research Duplication | 3 | [RESEARCHER2] | [None]
ORE | thaumcraft | Ores | 1 | [None] | [None]
ASPECTS | thaumcraft | Aspects of Magic | 1 | [None] | [None]
KNOWFRAG | thaumcraft | Knowledge Fragments | 1 | [RESEARCH] | [None]
ELDRITCHMINOR | thaumcraft | Eldritch Epiphany | 3 | [RESEARCHER2] | [RESEARCHER1, INFUSION]
RESEARCHER2 | thaumcraft | Research Mastery | 2 | [RESEARCHER1] | [None]
CRIMSON | thaumcraft | The Crimson Cult | 1 | [None] | [None]
NODEJAR | thaumcraft | Node in a Jar | 3 | [NODEPRESERVE] | [None]
RESEARCHER1 | thaumcraft | Research Expertise | 1 | [RESEARCH] | [None]
NODECATALYZATION | thaumcraft | Node Catalyzation | 3 | [NODEJAR, NODETAPPER2] | [JARLABEL]
NODETAPPER2 | thaumcraft | Master Node Tapping | 2 | [NODETAPPER1] | [None]
DECONSTRUCTOR | thaumcraft | Deconstruction table | 1 | [RESEARCHER1] | [None]
NODETAPPER1 | thaumcraft | Advanced Node Tapping | 2 | [NODES] | [None]
THAUMONOMICON | thaumcraft | Thaumonomicon | 1 | [RESEARCH] | [None]
PLANTS | thaumcraft | Plants & Trees | 1 | [None] | [None]
NODEPRESERVE | thaumcraft | Node Preserver | 2 | [NODETAPPER1] | [None]
PECH | thaumcraft | The Pech | 1 | [None] | [None]

=======[thaumcraft]=======
NODESTABILIZER | thaumcraft | Node Stabilizer | 1 | [NODEPRESERVE] | [None]
VAMPBAT | thaumcraft | Tier 5 Upgrade: Vampire Bats  | 1 | [FOCUSHELLBAT] | [FOCALMANIPULATION]
FOCUSEXCAVATION | thaumcraft | Wand Focus: Excavation | 2 | [FOCUSFIRE] | [None]
FOCUSHELLBAT | thaumcraft | Wand Focus: Nine Hells | 2 | [None] | [FOCUSFIRE, INFUSION]
VISCHARGERELAY | thaumcraft | Vis Charging Relay | 2 | [VISPOWER, WANDPED] | [ROD_greatwood]
ROD_ice | thaumcraft | Icy Wand Core | 2 | [ROD_greatwood, INFUSION] | [None]
ROD_reed | thaumcraft | Reed Wand Core | 2 | [ROD_greatwood, INFUSION] | [None]
ROD_greatwood_staff | thaumcraft | Magic Staves | 1 | [ROD_silverwood] | [None]
CAP_alfheimManasteel | thaumcraft | Manasteel Wand Caps | 1 | [CAP_gold] | [None]
ROD_silverwood_staff | thaumcraft | Silverwood Staff Core | 3 | [ROD_silverwood] | [ROD_greatwood_staff]
CAP_alfheimElementium | thaumcraft | Elementium Wand Caps | 1 | [CAP_gold] | [None]
VISAMULET | thaumcraft | Vis Storage | 2 | [WANDPED] | [None]
CAP_gold | thaumcraft | Gold Wand Caps | 1 | [BASICTHAUMATURGY] | [None]
VISPOWER | thaumcraft | Harnessing Vis | 2 | [NODESTABILIZER] | [None]
FOCUSPOUCH | thaumcraft | Focus Pouch | 1 | [FOCUSFIRE] | [None]
ROD_reed_staff | thaumcraft | Reed Staff Core | 2 | [ROD_reed] | [ROD_greatwood_staff]
FOCUSSHOCK | thaumcraft | Wand Focus: Shock | 1 | [FOCUSFIRE] | [None]
CAP_silver | thaumcraft | Silver Wand Caps | 1 | [CAP_gold, INFUSION] | [None]
PUMPKIFICTION | thaumcraft | Wand Focus: Pumpkifiction | 3 | [FOCUSWARDING] | [None]
ROD_obsidian | thaumcraft | Obsidian Wand Core | 2 | [ROD_greatwood, INFUSION] | [None]
ROD_greatwood | thaumcraft | Greatwood Wand Core | 1 | [BASICTHAUMATURGY] | [None]
ROD_bone_staff | thaumcraft | Bone Staff Core | 2 | [ROD_bone] | [ROD_greatwood_staff]
ROD_alfheimLivingwood | thaumcraft | Livingwood Wand Core | 1 | [ROD_greatwood] | [None]
ROD_blaze_staff | thaumcraft | Blaze Rod Staff Core | 2 | [ROD_blaze] | [ROD_greatwood_staff]
WANDPEDFOC | thaumcraft | Compound Recharge Focus | 3 | [WANDPED] | [None]
ROD_bone | thaumcraft | Bone Wand Core | 2 | [ROD_greatwood, INFUSION] | [None]
BASICTHAUMATURGY | thaumcraft | Basic Wand Craft | 1 | [None] | [None]
SCEPTRE | thaumcraft | Crafting Scepters | 3 | [ROD_silverwood] | [None]
ROD_quartz_staff | thaumcraft | Quartz Staff Core | 2 | [ROD_quartz] | [ROD_greatwood_staff]
NODESTABILIZERADV | thaumcraft | Advanced Node Stabilizer | 2 | [NODESTABILIZER] | [None]
CAP_alfheimMauftrium | thaumcraft | Mauftrium Wand Caps | 3 | [CAP_void] | [None]
CAP_alfheimElvorium | thaumcraft | Elvorium Wand Caps | 2 | [CAP_thaumium] | [None]
CAP_alfheimTerrasteel | thaumcraft | Terrasteel Wand Caps | 2 | [CAP_thaumium] | [None]
FOCUSFROST | thaumcraft | Wand Focus: Frost | 1 | [FOCUSFIRE] | [None]
FOCALMANIPULATION | thaumcraft | Focal Manipulation  | 2 | [VISPOWER] | [INFUSION, FOCUSFIRE]
FOCUSFIRE | thaumcraft | Wand Foci | 1 | [BASICTHAUMATURGY] | [None]
ROD_silverwood | thaumcraft | Silverwood Wand Core | 3 | [ROD_greatwood, INFUSION] | [None]
ROD_alfheimSpiritual_staff | thaumcraft | Spiritual Staff Core | 2 | [ROD_silverwood] | [None]
CAP_copper | thaumcraft | Copper Wand Caps | 1 | [BASICTHAUMATURGY] | [None]
ROD_quartz | thaumcraft | Quartz Wand Core | 2 | [ROD_greatwood, INFUSION] | [None]
CAP_iron | thaumcraft | tc.research_name.CAP_iron | 0 | [None] | [None]
FOCUSWARDING | thaumcraft | Wand Focus: Warding | 3 | [FOCUSEXCAVATION, INFUSION] | [None]
FOCUSPORTABLEHOLE | thaumcraft | Wand Focus: Portable Hole | 2 | [FOCUSTRADE, INFUSION] | [None]
CAP_thaumium | thaumcraft | Thaumium Wand Caps | 2 | [CAP_gold, THAUMIUM, INFUSION] | [None]
ROD_wood | thaumcraft | tc.research_name.ROD_wood | 0 | [None] | [None]
ROD_blaze | thaumcraft | Blaze Rod Wand Core | 2 | [ROD_greatwood, INFUSION] | [None]
ROD_obsidian_staff | thaumcraft | Obsidian Staff Core | 2 | [ROD_obsidian] | [ROD_greatwood_staff]
FOCUSTRADE | thaumcraft | Wand Focus: Equal Trade | 2 | [FOCUSFIRE] | [None]
ROD_ice_staff | thaumcraft | Icy Staff Core | 2 | [ROD_ice] | [ROD_greatwood_staff]
WANDPED | thaumcraft | Wand Recharge Pedestal | 2 | [INFUSION, NODEPRESERVE, NODESTABILIZER] | [None]
ROD_alfheimDreamwood | thaumcraft | Dreamwood Wand Core | 2 | [ROD_greatwood] | [None]

=======[thaumcraft]=======
ALUMENTUM | thaumcraft | Alumentum | 1 | [CRUCIBLE] | [None]
BATHSALTS | thaumcraft | Purifying Bath Salts | 2 | [ALCHEMICALMANUFACTURE] | [None]
CRUCIBLE | thaumcraft | Basic Alchemy | 1 | [None] | [None]
ENTROPICPROCESSING | thaumcraft | Entropic Processing | 1 | [ALCHEMICALDUPLICATION] | [None]
TRANSIRON | thaumcraft | Metal Transmutation | 1 | [THAUMIUM] | [None]
THAUMATORIUM | thaumcraft | Automated Alchemy | 3 | [CENTRIFUGE] | [None]
ALCHEMICALMANUFACTURE | thaumcraft | Alchemical Manufacture | 1 | [ALCHEMICALDUPLICATION] | [None]
LIQUIDDEATH | thaumcraft | Liquid Death | 2 | [ENTROPICPROCESSING] | [None]
TUBES | thaumcraft | Essentia Tubes | 1 | [DISTILESSENTIA] | [None]
TRANSTIN | thaumcraft | Tin Transmutation | 1 | [TRANSIRON] | [None]
SANESOAP | thaumcraft | Sanitizing Soap | 1 | [BATHSALTS] | [None]
WARPUPGRADE | thaumcraft | Warp Protection Upgrade | 2 | [ARCANESPA] | [None]
ETHEREALBLOOM | thaumcraft | Ethereal Bloom | 2 | [CRUCIBLE] | [None]
TALLOW | thaumcraft | Magic Tallow | 1 | [CRUCIBLE] | [None]
alfheimTRANSELEMENTIUM | thaumcraft | Elementium Transmutation | 1 | [TRANSIRON] | [None]
PURESILVER | thaumcraft | Silver Purification | 1 | [PUREIRON] | [None]
PURETIN | thaumcraft | Tin Purification | 1 | [PUREIRON] | [None]
TRANSCOPPER | thaumcraft | Copper Transmutation | 1 | [TRANSIRON] | [None]
ESSENTIACRYSTAL | thaumcraft | Essentia Crystallization  | 1 | [TUBES] | [None]
ARCANESPA | thaumcraft | Arcane Spa | 1 | [BATHSALTS] | [None]
CENTRIFUGE | thaumcraft | Alchemical Centrifuge | 2 | [TUBEFILTER] | [None]
TRANSSILVER | thaumcraft | Silver Transmutation | 1 | [TRANSIRON] | [None]
PUREIRON | thaumcraft | Metal Purification | 1 | [THAUMIUM] | [None]
ALCHEMICALDUPLICATION | thaumcraft | Alchemical Duplication | 1 | [TALLOW] | [None]
JARVOID | thaumcraft | Void Jar | 1 | [JARLABEL] | [None]
NITOR | thaumcraft | Nitor | 1 | [CRUCIBLE] | [None]
BOTTLETAINT | thaumcraft | Bottled Taint  | 2 | [ENTROPICPROCESSING] | [None]
PUREGOLD | thaumcraft | Gold Purification | 1 | [PUREIRON] | [None]
DISTILESSENTIA | thaumcraft | Essentia Distillation | 1 | [NITOR, ALUMENTUM] | [None]
PHIAL | thaumcraft | Glass Phial | 1 | [None] | [None]
TUBEFILTER | thaumcraft | Advanced Essentia Tubes | 2 | [TUBES] | [None]
PURELEAD | thaumcraft | Lead Purification | 1 | [PUREIRON] | [None]
alfheimPUREELEMENTIUM | thaumcraft | Elementium Purification | 1 | [PUREIRON] | [None]
THAUMIUM | thaumcraft | Magical Metallurgy | 1 | [CRUCIBLE] | [None]
TRANSLEAD | thaumcraft | Lead Transmutation | 1 | [TRANSIRON] | [None]
TRANSGOLD | thaumcraft | Gold Transmutation | 1 | [TRANSIRON] | [None]
PURECOPPER | thaumcraft | Copper Purification | 1 | [PUREIRON] | [None]
JARLABEL | thaumcraft | Warded Jars and Labels | 1 | [DISTILESSENTIA] | [None]

=======[thaumcraft]=======
RUNICEMERGENCY | thaumcraft | Amulet of Emergency Shielding | 2 | [RUNICARMOR] | [None]
GOGGLES | thaumcraft | Goggles of Revealing | 1 | [THAUMOMETER] | [None]
ENCHFABRIC | thaumcraft | Enchanted Fabric | 1 | [None] | [None]
ELEMENTALPICK | thaumcraft | Pickaxe of the Core | 2 | [THAUMIUM, INFUSION] | [None]
ELEMENTALAXE | thaumcraft | Axe of the Stream | 2 | [THAUMIUM, INFUSION] | [None]
TABLE | thaumcraft | Table | 1 | [None] | [None]
INFERNALFURNACE | thaumcraft | Infernal Furnace | 2 | [NITOR, ALUMENTUM] | [None]
BANNERS | thaumcraft | Banners  | 1 | [None] | [None]
ELEMENTALSHOVEL | thaumcraft | Shovel of the Earthmover | 2 | [THAUMIUM, INFUSION] | [None]
LEVITATOR | thaumcraft | Arcane Levitator | 1 | [NITOR] | [None]
HOVERGIRDLE | thaumcraft | Thaumostatic Girdle | 3 | [HOVERHARNESS] | [None]
WARDEDARCANA | thaumcraft | Warded Arcana | 2 | [THAUMIUM] | [None]
BASICARTIFACE | thaumcraft | Basic Artifacing | 1 | [None] | [None]
FLUXSCRUB | thaumcraft | Flux Scrubber  | 1 | [VISPOWER, BELLOWS, TUBES] | [INFUSION]
THAUMOMETER | thaumcraft | Thaumometer | 1 | [None] | [None]
BOOTSTRAVELLER | thaumcraft | Boots of the Traveler | 2 | [ENCHFABRIC, INFUSION] | [None]
RESTABLE | thaumcraft | Research Table | 1 | [TABLE] | [None]
MIRRORESSENTIA | thaumcraft | Essentia Mirrors | 2 | [MIRROR] | [None]
PRIMALARROW | thaumcraft | Primal Arrows | 2 | [BONEBOW] | [None]
ARCANEEAR | thaumcraft | Arcane Ear | 1 | [GOGGLES] | [None]
GRATE | thaumcraft | Item Grate | 1 | [None] | [None]
RUNICCHARGED | thaumcraft | Charged Ring of Shielding | 2 | [RUNICARMOR] | [None]
RUNICHEALING | thaumcraft | Revitalizing Ring of Shielding | 2 | [RUNICARMOR] | [None]
HOVERHARNESS | thaumcraft | Thaumostatic Harness | 3 | [BOOTSTRAVELLER] | [None]
MIRROR | thaumcraft | Mirror Magic | 2 | [INFUSION] | [None]
ALCHGRATE | thaumcraft | Alchemical Grate | 1 | [ADVALCHEMYFURNACE, HUNGRYCHEST, GRATE] | [None]
LAMPGROWTH | thaumcraft | Lamp of Growth | 2 | [ARCANELAMP, INFUSION] | [None]
MASKGRINNINGDEVIL | thaumcraft | Grinning Devil Faceplate | 2 | [ARMORFORTRESS] | [None]
ELEMENTALHOE | thaumcraft | Hoe of Growth | 2 | [THAUMIUM, INFUSION] | [None]
MIRRORHAND | thaumcraft | Magical Hand Mirror | 2 | [MIRROR] | [None]
ARCTABLE | thaumcraft | Arcane Worktable | 1 | [TABLE] | [None]
INFUSION | thaumcraft | Infusion | 2 | [DISTILESSENTIA] | [None]
SHIELDBAUBLES | thaumcraft | Baubles Stuff Shielding | 2 | [RUNICARMOR] | [None]
RUNICKINETIC | thaumcraft | Kinetic Girdle of Shielding | 2 | [RUNICARMOR] | [None]
PAVEWARD | thaumcraft | Paving Stone of Warding | 1 | [ARCANESTONE] | [None]
MASKANGRYGHOST | thaumcraft | Angry Ghost Faceplate | 2 | [ARMORFORTRESS] | [None]
MASKSIPPINGFIEND | thaumcraft | Sipping Fiend Faceplate | 2 | [ARMORFORTRESS] | [None]
ARCANELAMP | thaumcraft | Arcane Lamp | 1 | [NITOR] | [None]
ARMORFORTRESS | thaumcraft | Thaumium Fortress Armor | 2 | [THAUMIUM, INFUSIONENCHANTMENT] | [None]
BELLOWS | thaumcraft | Arcane Bellows | 1 | [INFERNALFURNACE] | [None]
HELMGOGGLES | thaumcraft | Helm of Revealing | 2 | [ARMORFORTRESS] | [GOGGLES]
RUNICARMOR | thaumcraft | Runic Shielding | 3 | [ENCHFABRIC] | [INFUSION]
RUNICAUGMENTATION | thaumcraft | Runic Shielding Augmentation | 1 | [RUNICARMOR] | [None]
LAMPFERTILITY | thaumcraft | Lamp of Fertility | 2 | [ARCANELAMP, INFUSION] | [None]
BONEBOW | thaumcraft | Bone Bow | 1 | [None] | [None]
ARCANESTONE | thaumcraft | Arcane Stone | 1 | [None] | [None]
SINSTONE | thaumcraft | Sinister Lodestone  | 1 | [GOGGLES] | [None]
ELEMENTALSWORD | thaumcraft | Sword of the Zephyr | 2 | [THAUMIUM, INFUSION] | [None]
PAVETRAVEL | thaumcraft | Paving Stone of Travel | 1 | [ARCANESTONE] | [None]
JARBRAIN | thaumcraft | Brain in a Jar | 2 | [INFUSION] | [None]
ARCANEBORE | thaumcraft | Arcane Bore | 2 | [FOCUSEXCAVATION, INFUSION] | [None]
INFUSIONENCHANTMENT | thaumcraft | Infusion Enchantment | 3 | [JARBRAIN] | [None]

=======[thaumcraft]=======
GOLEMCLAY | thaumcraft | Clay Golems | 2 | [GOLEMWOOD] | [None]
UPGRADEWATER | thaumcraft | Golem Upgrade: Water | 1 | [GOLEMBELL] | [None]
HUNGRYCHEST | thaumcraft | Hungry Chest | 1 | [None] | [None]
GOLEMTALLOW | thaumcraft | Tallow Golems | 2 | [GOLEMCLAY, TALLOW] | [None]
GOLEMWOOD | thaumcraft | Wooden Golems | 2 | [GOLEMSTRAW] | [None]
CORESANITIZE | thaumcraft | Golem Core: Sanitize | 3 | [COREUSE] | [None]
GOLEMFLESH | thaumcraft | Flesh Golems | 2 | [GOLEMWOOD] | [None]
UPGRADEEARTH | thaumcraft | Golem Upgrade: Earth | 1 | [GOLEMBELL] | [None]
TINYDART | thaumcraft | Golem Dart Launcher | 1 | [None] | [None]
UPGRADEFIRE | thaumcraft | Golem Upgrade: Fire | 1 | [GOLEMBELL] | [None]
UPGRADEENTROPY | thaumcraft | Golem Upgrade: Entropy | 1 | [GOLEMBELL] | [None]
COREUSE | thaumcraft | Golem Core: Use | 3 | [COREEMPTY, INFUSION] | [None]
TINYHAMMER | thaumcraft | Golem Mace | 1 | [None] | [None]
TRAVELTRUNK | thaumcraft | Traveling Trunk | 2 | [INFUSION, GOLEMWOOD] | [None]
TINYBOWTIE | thaumcraft | Tiny Bowties | 1 | [None] | [None]
GOLEMBELL | thaumcraft | Golemancer's Bell | 1 | [GOLEMSTRAW] | [None]
CORESORTING | thaumcraft | Golem Core: Sorting | 2 | [COREEMPTY, COREFILL, INFUSION] | [None]
GOLEMTHAUMIUM | thaumcraft | Thaumium Golems | 2 | [GOLEMIRON, THAUMIUM] | [None]
TINYHAT | thaumcraft | Tiny Hats | 1 | [None] | [None]
TINYFEZ | thaumcraft | Tiny Fezzes | 1 | [None] | [None]
CORELUMBER | thaumcraft | Golem Core: Chop | 2 | [COREHARVEST, ELEMENTALAXE] | [None]
TINYGLASSES | thaumcraft | Tiny Spectacles | 1 | [None] | [None]
TINYVISOR | thaumcraft | Golem Visor | 1 | [None] | [None]
UPGRADEAIR | thaumcraft | Golem Upgrade: Air | 1 | [GOLEMBELL] | [None]
COREFISHING | thaumcraft | Golem Core: Fishing | 2 | [COREHARVEST, INFUSION] | [None]
COREGATHER | thaumcraft | Golem Core: Gather | 1 | [GOLEMSTRAW] | [None]
COREHARVEST | thaumcraft | Golem Core: Harvest | 2 | [COREGATHER] | [None]
COREBUTCHER | thaumcraft | Golem Core: Butcher | 2 | [COREGUARD, COREHARVEST] | [None]
COREGUARD | thaumcraft | Golem Core: Guard | 2 | [COREGATHER] | [None]
ADVANCEDGOLEM | thaumcraft | Advanced Golems | 2 | [INFUSION, UPGRADEAIR, UPGRADEEARTH, UPGRADEFIRE, UPGRADEWATER, UPGRADEORDER, UPGRADEENTROPY] | [None]
TINYARMOR | thaumcraft | Golem Iron Plating | 1 | [None] | [None]
COREFILL | thaumcraft | Golem Core: Fill | 2 | [COREGATHER] | [None]
GOLEMFETTER | thaumcraft | Golem Fetter | 1 | [GOLEMSTONE] | [None]
GOLEMSTRAW | thaumcraft | Straw Golems | 2 | [HUNGRYCHEST] | [None]
COREALCHEMY | thaumcraft | Golem Core: Alchemy | 2 | [CORELIQUID, INFUSION] | [None]
GOLEMSTONE | thaumcraft | Stone Golems | 2 | [GOLEMCLAY] | [None]
